id;laundry_machine_id;name;subprogram;time;spin;pre_wash;protect
443;2;Pflegeleicht;40°;49;600;true;null
444;2;Pflegeleicht;40°;49;500;true;null
445;2;Pflegeleicht;40°;49;400;true;null
446;2;Pflegeleicht;40°;38;0;true;null
447;2;Pflegeleicht;30°;40;1000;false;null
448;2;Pflegeleicht;30°;40;900;false;null
449;2;Pflegeleicht;30°;40;800;false;null
450;2;Pflegeleicht;30°;40;700;false;null
451;2;Pflegeleicht;30°;40;600;false;null
452;2;Pflegeleicht;30°;40;500;false;null
453;2;Pflegeleicht;30°;40;400;false;null
454;2;Pflegeleicht;30°;30;0;false;null
455;2;Pflegeleicht;30°;49;1000;true;null
456;2;Pflegeleicht;30°;49;900;true;null
457;2;Pflegeleicht;30°;49;800;true;null
458;2;Pflegeleicht;30°;49;700;true;null
459;2;Pflegeleicht;30°;49;600;true;null
460;2;Pflegeleicht;30°;49;500;true;null
461;2;Pflegeleicht;30°;49;400;true;null
462;2;Pflegeleicht;30°;38;0;true;null
463;2;Intensiv waschen;60°;88;1400;false;null
464;2;Intensiv waschen;60°;88;1300;false;null
465;2;Intensiv waschen;60°;88;1200;false;null
466;2;Intensiv waschen;60°;88;1100;false;null
467;2;Intensiv waschen;60°;88;1000;false;null
468;2;Intensiv waschen;60°;88;900;false;null
469;2;Intensiv waschen;60°;88;800;false;null
470;2;Intensiv waschen;60°;88;700;false;null
471;2;Intensiv waschen;60°;88;600;false;null
472;2;Intensiv waschen;60°;88;500;false;null
473;2;Intensiv waschen;60°;88;400;false;null
474;2;Intensiv waschen;60°;67;0;false;null
475;2;Intensiv waschen;60°;99;1400;true;null
476;2;Intensiv waschen;60°;99;1300;true;null
477;2;Intensiv waschen;60°;99;1200;true;null
478;2;Intensiv waschen;60°;99;1100;true;null
479;2;Intensiv waschen;60°;99;1000;true;null
480;2;Intensiv waschen;60°;99;900;true;null
481;2;Intensiv waschen;60°;99;800;true;null
482;2;Intensiv waschen;60°;99;700;true;null
483;2;Intensiv waschen;60°;99;600;true;null
484;2;Intensiv waschen;60°;99;500;true;null
485;2;Intensiv waschen;60°;99;400;true;null
486;2;Intensiv waschen;60°;77;0;true;null
487;2;Intensiv waschen;40°;89;1400;false;null
488;2;Intensiv waschen;40°;89;1300;false;null
489;2;Intensiv waschen;40°;89;1200;false;null
490;2;Intensiv waschen;40°;89;1100;false;null
491;2;Intensiv waschen;40°;89;1000;false;null
492;2;Intensiv waschen;40°;89;900;false;null
493;2;Intensiv waschen;40°;89;800;false;null
494;2;Intensiv waschen;40°;89;700;false;null
495;2;Intensiv waschen;40°;89;600;false;null
496;2;Intensiv waschen;40°;89;500;false;null
497;2;Intensiv waschen;40°;89;400;false;null
